id,course_number,type,description
1,101,pre,"One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184"
2,103,pre,"One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184"
3,152,co,MATH 101
4,105,pre,"One of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184."
5,121,pre_soft,Either (a) a score of 68% or higher in MATH 120 
6,121,pre_soft,"or (b) a score of 80% or higher in one of MATH 100, MATH 102, MATH 104, MATH 180, MATH 184 or (c) a score of 5 in AP Calculus AB."
7,200,pre,"One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001."
8,210,pre,"One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001."
9,210,co,"One of MATH 215, MATH 255, MATH 256, MATH 258 "
10,210,co,"One of MATH 152, MATH 221, MATH 223."
11,215,pre,"One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001"
12,215,pre,"One of MATH 152, MATH 221, MATH 223."
13,215,co,"One of MATH 200, MATH 217, MATH 226, MATH 253, MATH 254."
14,220,pre_soft,"Either (a) a score of 64% or higher in one of MATH 101, MATH 103, MATH 105, SCIE 001"
15,220,pre_soft,"Or (b) one of MATH 121, MATH 200, MATH 217, MATH 226, MATH 253, MATH 254."
16,221,pre_soft,"Either (a) a score of 64% or higher in one of MATH 100, MATH 102, MATH 104, MATH 110, MATH 120, MATH 180, MATH 184 "
17,221,pre_soft,"Or (b) one of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001 "
18,223,pre_soft,Either (a) MATH 121
19,223,pre_soft,"Or (b) a score of 68% or higher in one of MATH 101, MATH 103, MATH 105, SCIE 001."
20,226,pre_soft,Either (a) a score of 68% or higher in MATH 121
21,226,pre_soft,"Or (b) a score of 80% or higher in one of MATH 101, MATH 103, MATH 105, SCIE 001."
22,226,co,"One of MATH 152, MATH 221, MATH 223"
23,227,pre,A score of 68% or higher in MATH 226.
24,253,pre,"One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001."
25,254,pre,MATH 101
26,254,pre,"One of MATH 152, MATH 221, MATH 223."
27,254,co,"All of MECH 222, MECH 225."
28,255,pre,"One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001"
29,255,pre,"One of MATH 152, MATH 221, MATH 223."
30,255,co,"One of MATH 200, MATH 217, MATH 226, MATH 253, MATH 254."
31,256,pre,"One of MATH 101, MATH 103, MATH 105, MATH 121, SCIE 001 "
32,256,pre,"One of MATH 152, MATH 221, MATH 223."
33,256,co,"One of MATH 200, MATH 217, MATH 226, MATH 253, MATH 263."
34,257,pre,"One of MATH 215, MATH 255, MATH 256, MATH 258."
35,258,pre,MATH 101
36,258,pre,"One of MATH 152, MATH 221, MATH 223."
37,258,co,"All of MECH 221, MECH 224."
38,264,pre,"One of MATH 200, MATH 217, MATH 226, MATH 253, MATH 254."
39,264,co,"One of BMEG 220, ELEC 211."
40,300,pre,"One of MATH 200, MATH 217, MATH 226, MATH 253, MATH 254."
41,300,co,"One of MATH 217, MATH 227, MATH 254, MATH 317."
